census_2000,occupation,soc_2000,category
1,Chief Executives,11-1011,1
2,General and Operations Managers,11-1021,1
3,Legislators,11-1031,1
4,Advertising and Promotions Managers,11-2011,1
5,Marketing and Sales Managers,11-2020,1
6,Public Relations Managers,11-2031,1
10,Administrative Services Managers,11-3011,1
11,Computer and Information Systems Managers,11-3021,1
12,Financial Managers,11-3031,1
13,Human Resources Managers,11-3040,1
14,Industrial Production Managers,11-3051,1
15,Purchasing Managers,11-3061,1
16,"Transportation, Storage, and Distribution Managers",11-3071,1
20,"Farm, Ranch, and Other Agricultural Managers",11-9011,1
21,Farmers and Ranchers,11-9012,1
22,Construction Managers,11-9021,1
23,Education Administrators,11-9030,1
30,Engineering Managers,11-9041,1
31,Food Service Managers,11-9051,1
32,Funeral Directors,11-9061,1
33,Gaming Managers,11-9071,1
34,Lodging Managers,11-9081,1
35,Medical and Health Services Managers,11-9111,1
36,Natural Sciences Managers,11-9121,1
40,Postmasters and Mail Superintendents,11-9131,1
41,"Property, Real Estate, and Community Association Managers",11-9141,1
42,Social and Community Service Managers,11-9151,1
43,"Managers, All Other",11-9199,1
50,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,1
51,"Purchasing Agents and Buyers, Farm Products",13-1021,1
52,"Wholesale and Retail Buyers, Except Farm Products",13-1022,1
53,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,1
54,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1030,1
56,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation",13-1041,1
60,Cost Estimators,13-1051,1
62,"Human Resources, Training, and Labor Relations Specialists",13-1070,2
70,Logisticians,13-1081,1
71,Management Analysts,13-1111,1
72,Meeting and Convention Planners,13-1121,1
73,Other Business Operations Specialists,13-1199,1
80,Accountants and Auditors,13-2011,2
81,Appraisers and Assessors of Real Estate,13-2021,1
82,Budget Analysts,13-2031,1
83,Credit Analysts,13-2041,1
84,Financial Analysts,13-2051,1
85,Personal Financial Advisors,13-2052,1
86,Insurance Underwriters,13-2053,1
90,Financial Examiners,13-2061,1
91,Loan Counselors and Officers,13-2070,1
93,"Tax Examiners, Collectors, and Revenue Agents",13-2081,1
94,Tax Preparers,13-2082,1
95,"Financial Specialists, All Other",13-2099,1
100,Computer Scientists and Systems Analysts,15-1011,2
100,Computer Scientists and Systems Analysts,15-1051,2
100,Computer Scientists and Systems Analysts,15-1099,2
100,Computer Scientists and Systems Analysts,15-1021,2
101,Computer Programmers,,2
102,Computer Software Engineers,15-1030,2
104,Computer Support Specialists,15-1041,2
106,Database Administrators,15-1061,2
110,Network and Computer Systems Administrators,15-1071,2
111,Network Systems and Data Communications Analysts,15-1081,2
120,Actuaries,15-2011,2
122,Operations Research Analysts,15-2031,2
124,124 - Miscellaneous Mathematical Science Occupations,15-2090,2
121,121 - Mathematicians,15-2021,2
123,123 - Statisticians,15-2041,2
130,"Architects, Except Naval",17-1010,2
131,"Surveyors, Cartographers, and Photogrammetrists",17-1020,2
132,Aerospace Engineers,17-2011,2
135,Chemical Engineers,17-2041,2
136,Civil Engineers,17-2051,2
140,Computer Hardware Engineers,17-2061,2
141,Electrical and Electronics Engineers,17-2070,2
142,Environmental Engineers,17-2081,2
143,"Industrial Engineers, Including Health and Safety",17-2110,2
144,Marine Engineers and Naval Architects,17-2121,2
145,Materials Engineers,17-2131,2
146,Mechanical Engineers,17-2141,2
151,Nuclear Engineers,17-2161,2
152,152 - Petroleum Engineers,17-2171,2
150,"150 - Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,2
153,"153 - Engineers, All Other",17-2199,2
134,134 - Biomedical Engineers,17-2031,2
133,133 - Agricultural Engineers,17-2021,2
154,Drafters,17-3010,3
155,"Engineering Technicians, Except Drafters",17-3020,3
156,Surveying and Mapping Technicians,17-3031,3
160,Agricultural and Food Scientists,19-1010,2
161,Biological Scientists,19-1020,2
164,Conservation Scientists and Foresters,19-1030,2
165,Medical Scientists,19-1040,2
170,Astronomers and Physicists,19-2010,2
171,Atmospheric and Space Scientists,19-2021,2
172,Chemists and Materials Scientists,19-2030,2
174,Environmental Scientists and Geoscientists,19-2040,2
176,"Physical Scientists, All Other",19-2099,2
180,Economists,19-3011,2
181,Market and Survey Researchers,19-3020,2
182,Psychologists,19-3030,2
184,Urban and Regional Planners,19-3051,2
186,186 - Miscellaneous Social Scientists and Related Workers,19-3090,2
183,183 - Sociologists,19-3041,2
190,Agricultural and Food Science Technicians,19-4011,3
191,Biological Technicians,19-4021,3
192,Chemical Technicians,19-4031,3
193,Geological and Petroleum Technicians,19-4041,3
196,"196 - Other Life, Physical, and Social Science Technicians",19-4061,3
194,194 - Nuclear Technicians,19-4051,3
200,Counselors,21-1010,2
201,Social Workers,21-1020,2
202,Miscellaneous Community and Social Service Specialists,21-1090,2
204,Clergy,21-2011,2
205,"Directors, Religious Activities and Education",21-2021,2
206,"Religious Workers, All Other",21-2099,2
210,Lawyers,23-1011,2
211,"Judges, Magistrates, and Other Judicial Workers",23-1020,2
214,Paralegals and Legal Assistants,23-2011,6
215,Miscellaneous Legal Support Workers,23-2090,6
220,Postsecondary Teachers,25-1000,2
230,Preschool and Kindergarten Teachers,25-2010,2
231,Elementary and Middle School Teachers,25-2020,2
232,Secondary School Teachers,25-2030,2
233,Special Education Teachers,25-2040,2
234,Other Teachers and Instructors,25-3000,2
240,"Archivists, Curators, and Museum Technicians",25-4010,2
243,Librarians,25-4021,2
244,Library Technicians,25-4031,6
254,Teacher Assistants,25-9041,6
255,"Other Education, Training, and Library Workers",25-9031,2
260,Artists and Related Workers,27-1010,2
263,Designers,27-1020,2
270,Actors,27-2011,2
271,Producers and Directors,27-2012,2
272,"Athletes, Coaches, Umpires, and Related Workers",27-2020,2
274,Dancers and Choreographers,27-2030,2
275,"Musicians, Singers, and Related Workers",27-2040,2
276,"Entertainers and Performers, Sports and Related Workers, All Other",27-2099,2
280,Announcers,27-3010,2
281,"News Analysts, Reporters and Correspondents",27-3020,2
282,Public Relations Specialists,27-3031,2
283,Editors,27-3041,2
284,Technical Writers,27-3042,2
285,Writers and Authors,27-3043,2
286,Miscellaneous Media and Communication Workers,27-3090,2
290,290 - Broadcast and Sound Engineering Technicians and Radio Operators,27-4010,3
296,"296 - Media and Communication Equipment Workers, All Other",27-4099,3
291,Photographers,27-4021,2
292,"Television, Video, and Motion Picture Camera Operators and Editors",27-4030,2
300,Chiropractors,29-1011,2
301,Dentists,29-1020,2
303,Dietitians and Nutritionists,29-1031,2
304,Optometrists,29-1041,2
305,Pharmacists,29-1051,2
306,Physicians and Surgeons,29-1060,2
311,Physician Assistants,29-1071,2
312,Podiatrists,29-1081,2
313,Registered Nurses,29-1111,2
314,Audiologists,29-1121,2
315,Occupational Therapists,29-1122,2
316,Physical Therapists,29-1123,2
320,Radiation Therapists,29-1124,2
321,Recreational Therapists,29-1125,2
322,Respiratory Therapists,29-1126,2
323,Speech-Language Pathologists,29-1127,2
324,"Therapists, All Other",29-1129,2
